folder,offset_file,original_file,comparison_type,device,true_offset,config,bins,method,estimated_offset,error,abs_error,rel_error,same_instrument,processing_time
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,master.wav,master,DSLR_Camera_-_Microphone_through_speaker,264.0,default,84,FingerprintRecognizer,0.0,-264.0,264.0,100.0,False,50.83
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,master.wav,master,DSLR_Camera_-_Microphone_through_speaker,264.0,default,84,CorrelationRecognizer,0.0,-264.0,264.0,100.0,False,9.76
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,master.wav,master,DSLR_Camera_-_Microphone_through_speaker,264.0,default,84,CorrelationSpectrogramRecognizer,0.0,-264.0,264.0,100.0,False,13.52
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,master.wav,master,DSLR_Camera_-_Microphone_through_speaker,264.0,higher_res,96,FingerprintRecognizer,0.0,-264.0,264.0,100.0,False,51.29
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,master.wav,master,DSLR_Camera_-_Microphone_through_speaker,264.0,higher_res,96,CorrelationRecognizer,0.0,-264.0,264.0,100.0,False,10.23
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,master.wav,master,DSLR_Camera_-_Microphone_through_speaker,264.0,higher_res,96,CorrelationSpectrogramRecognizer,0.0,-264.0,264.0,100.0,False,14.13
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,master.wav,master,DSLR_Camera_-_Microphone_through_speaker,264.0,lower_res,48,FingerprintRecognizer,0.0,-264.0,264.0,100.0,False,50.97
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,master.wav,master,DSLR_Camera_-_Microphone_through_speaker,264.0,lower_res,48,CorrelationRecognizer,0.0,-264.0,264.0,100.0,False,9.31
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,master.wav,master,DSLR_Camera_-_Microphone_through_speaker,264.0,lower_res,48,CorrelationSpectrogramRecognizer,0.0,-264.0,264.0,100.0,False,12.54
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,drums.wav,original,DSLR_Camera_-_Microphone_through_speaker,264.0,default,84,FingerprintRecognizer,0.0,-264.0,264.0,100.0,True,41.75
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,drums.wav,original,DSLR_Camera_-_Microphone_through_speaker,264.0,default,84,CorrelationRecognizer,0.0,-264.0,264.0,100.0,True,10.08
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,drums.wav,original,DSLR_Camera_-_Microphone_through_speaker,264.0,default,84,CorrelationSpectrogramRecognizer,0.0,-264.0,264.0,100.0,True,13.84
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,drums.wav,original,DSLR_Camera_-_Microphone_through_speaker,264.0,higher_res,96,FingerprintRecognizer,0.0,-264.0,264.0,100.0,True,44.62
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,drums.wav,original,DSLR_Camera_-_Microphone_through_speaker,264.0,higher_res,96,CorrelationRecognizer,0.0,-264.0,264.0,100.0,True,9.71
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,drums.wav,original,DSLR_Camera_-_Microphone_through_speaker,264.0,higher_res,96,CorrelationSpectrogramRecognizer,0.0,-264.0,264.0,100.0,True,13.34
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,drums.wav,original,DSLR_Camera_-_Microphone_through_speaker,264.0,lower_res,48,FingerprintRecognizer,0.0,-264.0,264.0,100.0,True,42.95
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,drums.wav,original,DSLR_Camera_-_Microphone_through_speaker,264.0,lower_res,48,CorrelationRecognizer,0.0,-264.0,264.0,100.0,True,9.71
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,drums.wav,original,DSLR_Camera_-_Microphone_through_speaker,264.0,lower_res,48,CorrelationSpectrogramRecognizer,0.0,-264.0,264.0,100.0,True,13.27
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,no-drums.wav,backing,DSLR_Camera_-_Microphone_through_speaker,264.0,default,84,FingerprintRecognizer,464.4,200.4,200.4,75.91,False,48.52
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,no-drums.wav,backing,DSLR_Camera_-_Microphone_through_speaker,264.0,default,84,CorrelationRecognizer,0.0,-264.0,264.0,100.0,False,9.97
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,no-drums.wav,backing,DSLR_Camera_-_Microphone_through_speaker,264.0,default,84,CorrelationSpectrogramRecognizer,185.76,-78.24,78.24,29.64,False,15.82
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,no-drums.wav,backing,DSLR_Camera_-_Microphone_through_speaker,264.0,higher_res,96,FingerprintRecognizer,464.4,200.4,200.4,75.91,False,48.03
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,no-drums.wav,backing,DSLR_Camera_-_Microphone_through_speaker,264.0,higher_res,96,CorrelationRecognizer,0.0,-264.0,264.0,100.0,False,11.73
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,no-drums.wav,backing,DSLR_Camera_-_Microphone_through_speaker,264.0,higher_res,96,CorrelationSpectrogramRecognizer,185.76,-78.24,78.24,29.64,False,14.68
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,no-drums.wav,backing,DSLR_Camera_-_Microphone_through_speaker,264.0,lower_res,48,FingerprintRecognizer,464.4,200.4,200.4,75.91,False,52.3
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,no-drums.wav,backing,DSLR_Camera_-_Microphone_through_speaker,264.0,lower_res,48,CorrelationRecognizer,0.0,-264.0,264.0,100.0,False,10.07
A,drums_offset_264ms_with_DSLR_Camera_-_Microphone_through_speaker.wav,no-drums.wav,backing,DSLR_Camera_-_Microphone_through_speaker,264.0,lower_res,48,CorrelationSpectrogramRecognizer,185.76,-78.24,78.24,29.64,False,13.34
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,master.wav,master,Laptop_-_Microphone,336.0,default,84,FingerprintRecognizer,0.0,-336.0,336.0,100.0,False,53.0
